"Representative","Office Running For","Cash on Hand"
"Ed Whitfield (R-Ky) ","Kentucky District 01","$649873"
"Earl Pomeroy (D-ND) ","North Dakota District 01","$642893"
"Ted Poe (R-Texas) ","Texas District 02","$641080"
"Steny H Hoyer (D-Md) ","Maryland District 05","$635801"
"Tom Reynolds (R-NY) ","New York District 26","$631106"
"Mike Ross (D-Ark) ","Arkansas District 04","$630899"
"Peter Welch (D-Vt) ","Vermont District 01","$630035"
"Joe Courtney (D-Conn) ","Connecticut District 02","$625253"
"Brian M Higgins (D-NY) ","New York District 27","$624794"
"Xavier Becerra (D-Calif) ","California District 31","$605199"
"Howard Coble (R-NC) ","North Carolina District 06","$603648"
"Mike McIntyre (D-NC) ","North Carolina District 07","$600624"
"Gene Green (D-Texas) ","Texas District 29","$600035"
